,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
897,0.907,0.59,7,-6.941,0,0.115,0.359,3.47e-05,0.107,0.407,99.982,audio_features,5PLe67zeDKnMamxEZi9LrA,spotify:track:5PLe67zeDKnMamxEZi9LrA,https://api.spotify.com/v1/tracks/5PLe67zeDKnMamxEZi9LrA,https://api.spotify.com/v1/audio-analysis/5PLe67zeDKnMamxEZi9LrA,148840,4
898,0.661,0.516,8,-11.207,1,0.0425,0.0013,0.0,0.0998,0.333,140.077,audio_features,47f6eZgviwSZciXGv2iWYg,spotify:track:47f6eZgviwSZciXGv2iWYg,https://api.spotify.com/v1/tracks/47f6eZgviwSZciXGv2iWYg,https://api.spotify.com/v1/audio-analysis/47f6eZgviwSZciXGv2iWYg,200786,4
899,0.462,0.288,5,-11.199,1,0.0288,0.781,0.756,0.131,0.0589,130.164,audio_features,69BeOEL0DFLwA3WplXJxX5,spotify:track:69BeOEL0DFLwA3WplXJxX5,https://api.spotify.com/v1/tracks/69BeOEL0DFLwA3WplXJxX5,https://api.spotify.com/v1/audio-analysis/69BeOEL0DFLwA3WplXJxX5,275187,4
900,0.75,0.789,2,-4.578,1,0.108,0.253,0.0,0.129,0.673,147.957,audio_features,7LGWmZaoS7jZJ5tEi9EcDi,spotify:track:7LGWmZaoS7jZJ5tEi9EcDi,https://api.spotify.com/v1/tracks/7LGWmZaoS7jZJ5tEi9EcDi,https://api.spotify.com/v1/audio-analysis/7LGWmZaoS7jZJ5tEi9EcDi,157133,4
901,0.409,0.765,10,-5.674,0,0.104,0.0574,0.0,0.0922,0.365,97.383,audio_features,1Pt2STlAgfB1CiEV8mf3CN,spotify:track:1Pt2STlAgfB1CiEV8mf3CN,https://api.spotify.com/v1/tracks/1Pt2STlAgfB1CiEV8mf3CN,https://api.spotify.com/v1/audio-analysis/1Pt2STlAgfB1CiEV8mf3CN,209667,4
902,0.847,0.579,1,-5.314,1,0.0719,0.0268,0.0545,0.102,0.569,137.998,audio_features,5Il6Oe7lr5XM7A0cWbVQtr,spotify:track:5Il6Oe7lr5XM7A0cWbVQtr,https://api.spotify.com/v1/tracks/5Il6Oe7lr5XM7A0cWbVQtr,https://api.spotify.com/v1/audio-analysis/5Il6Oe7lr5XM7A0cWbVQtr,267107,4
903,0.422,0.608,6,-7.287,0,0.196,0.0508,0.0,0.11,0.176,84.05,audio_features,3P7xjKJTg7tG7xWlyCpfih,spotify:track:3P7xjKJTg7tG7xWlyCpfih,https://api.spotify.com/v1/tracks/3P7xjKJTg7tG7xWlyCpfih,https://api.spotify.com/v1/audio-analysis/3P7xjKJTg7tG7xWlyCpfih,80197,4
904,0.49,0.104,4,-13.208,0,0.0635,0.964,0.0,0.162,0.278,86.675,audio_features,0fB77VOZ2FkQeKLv1DuEwp,spotify:track:0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/tracks/0fB77VOZ2FkQeKLv1DuEwp,https://api.spotify.com/v1/audio-analysis/0fB77VOZ2FkQeKLv1DuEwp,324499,4
905,0.721,0.918,10,-3.347,1,0.0678,0.0408,2.45e-05,0.233,0.965,137.03,audio_features,2zAi85TQB7mLzl8P1ySAj9,spotify:track:2zAi85TQB7mLzl8P1ySAj9,https://api.spotify.com/v1/tracks/2zAi85TQB7mLzl8P1ySAj9,https://api.spotify.com/v1/audio-analysis/2zAi85TQB7mLzl8P1ySAj9,204498,4
906,0.358,0.465,10,-7.384,1,0.0433,0.655,0.0,0.155,0.535,87.706,audio_features,70w1mwTod6NgCNV6e7ZlIQ,spotify:track:70w1mwTod6NgCNV6e7ZlIQ,https://api.spotify.com/v1/tracks/70w1mwTod6NgCNV6e7ZlIQ,https://api.spotify.com/v1/audio-analysis/70w1mwTod6NgCNV6e7ZlIQ,250686,4
907,0.844,0.513,1,-8.769,1,0.335,0.178,0.0,0.0845,0.344,128.085,audio_features,7pMRoGLEJuFM2wl5pt0R99,spotify:track:7pMRoGLEJuFM2wl5pt0R99,https://api.spotify.com/v1/tracks/7pMRoGLEJuFM2wl5pt0R99,https://api.spotify.com/v1/audio-analysis/7pMRoGLEJuFM2wl5pt0R99,244941,4
908,0.631,0.625,0,-10.73,1,0.0374,0.134,0.0196,0.117,0.305,155.987,audio_features,6tZetCGfhxPh5ZIKCGmaKq,spotify:track:6tZetCGfhxPh5ZIKCGmaKq,https://api.spotify.com/v1/tracks/6tZetCGfhxPh5ZIKCGmaKq,https://api.spotify.com/v1/audio-analysis/6tZetCGfhxPh5ZIKCGmaKq,181400,4
909,0.669,0.373,1,-7.349,1,0.0387,0.774,0.0,0.326,0.394,127.94,audio_features,3SxSrUogj4LpAkLKXeTtTQ,spotify:track:3SxSrUogj4LpAkLKXeTtTQ,https://api.spotify.com/v1/tracks/3SxSrUogj4LpAkLKXeTtTQ,https://api.spotify.com/v1/audio-analysis/3SxSrUogj4LpAkLKXeTtTQ,197333,4
910,0.752,0.87,1,-4.267,0,0.182,0.0229,2.28e-06,0.0996,0.761,160.128,audio_features,4fvneyc3bVlvzUuvKU6MpM,spotify:track:4fvneyc3bVlvzUuvKU6MpM,https://api.spotify.com/v1/tracks/4fvneyc3bVlvzUuvKU6MpM,https://api.spotify.com/v1/audio-analysis/4fvneyc3bVlvzUuvKU6MpM,111282,4
911,0.764,0.528,5,-4.082,0,0.0588,0.468,0.0,0.0811,0.422,123.936,audio_features,4XiGKQqbmnMVxDzUj6j3f2,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,https://api.spotify.com/v1/tracks/4XiGKQqbmnMVxDzUj6j3f2,https://api.spotify.com/v1/audio-analysis/4XiGKQqbmnMVxDzUj6j3f2,189253,5
912,0.63,0.31,9,-9.253,1,0.028,0.704,0.0011,0.128,0.0712,93.067,audio_features,5EKqsMU2tn1iAYNQF8h0ll,spotify:track:5EKqsMU2tn1iAYNQF8h0ll,https://api.spotify.com/v1/tracks/5EKqsMU2tn1iAYNQF8h0ll,https://api.spotify.com/v1/audio-analysis/5EKqsMU2tn1iAYNQF8h0ll,270893,4
913,0.539,0.39,4,-8.341,0,0.0293,0.0143,0.000125,0.174,0.361,119.791,audio_features,0W95eMaAxNVYTquOsXXkC5,spotify:track:0W95eMaAxNVYTquOsXXkC5,https://api.spotify.com/v1/tracks/0W95eMaAxNVYTquOsXXkC5,https://api.spotify.com/v1/audio-analysis/0W95eMaAxNVYTquOsXXkC5,173920,3
914,0.705,0.918,6,-2.77,0,0.0684,0.04,9.3e-05,0.0803,0.546,92.511,audio_features,4GZ3YCkuH0VvTluVLwUp4g,spotify:track:4GZ3YCkuH0VvTluVLwUp4g,https://api.spotify.com/v1/tracks/4GZ3YCkuH0VvTluVLwUp4g,https://api.spotify.com/v1/audio-analysis/4GZ3YCkuH0VvTluVLwUp4g,207925,4
915,0.702,0.775,1,-3.462,1,0.248,0.324,0.0,0.114,0.784,178.199,audio_features,7cWh3ScxjhvasLI0CBRoZk,spotify:track:7cWh3ScxjhvasLI0CBRoZk,https://api.spotify.com/v1/tracks/7cWh3ScxjhvasLI0CBRoZk,https://api.spotify.com/v1/audio-analysis/7cWh3ScxjhvasLI0CBRoZk,151054,4
916,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,audio_features,3Kd6Wp3lG5HXMB2dlvuy7y,spotify:track:3Kd6Wp3lG5HXMB2dlvuy7y,https://api.spotify.com/v1/tracks/3Kd6Wp3lG5HXMB2dlvuy7y,https://api.spotify.com/v1/audio-analysis/3Kd6Wp3lG5HXMB2dlvuy7y,172196,4
917,0.171,0.995,3,-24.27,0,0.0438,0.773,0.989,0.967,1e-05,48.19,audio_features,2R3rtt51AgjokY1vPNuIVz,spotify:track:2R3rtt51AgjokY1vPNuIVz,https://api.spotify.com/v1/tracks/2R3rtt51AgjokY1vPNuIVz,https://api.spotify.com/v1/audio-analysis/2R3rtt51AgjokY1vPNuIVz,119000,4
918,0.78,0.527,9,-4.702,0,0.0296,0.0563,0.000412,0.0437,0.588,99.986,audio_features,0MW5zwGXciXyVdFwQbvBq8,spotify:track:0MW5zwGXciXyVdFwQbvBq8,https://api.spotify.com/v1/tracks/0MW5zwGXciXyVdFwQbvBq8,https://api.spotify.com/v1/audio-analysis/0MW5zwGXciXyVdFwQbvBq8,136357,4
919,0.477,0.511,0,-8.843,1,0.0734,0.638,2.57e-05,0.103,0.488,178.35,audio_features,5HsJGA8P5fPzR06i9FQKBr,spotify:track:5HsJGA8P5fPzR06i9FQKBr,https://api.spotify.com/v1/tracks/5HsJGA8P5fPzR06i9FQKBr,https://api.spotify.com/v1/audio-analysis/5HsJGA8P5fPzR06i9FQKBr,235025,4
920,0.529,0.931,4,-1.538,1,0.0581,0.00955,0.0,0.465,0.695,92.466,audio_features,64yajM6CxtLghmgB53VeXT,spotify:track:64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/tracks/64yajM6CxtLghmgB53VeXT,https://api.spotify.com/v1/audio-analysis/64yajM6CxtLghmgB53VeXT,212547,4
921,0.755,0.557,3,-5.982,1,0.0302,0.691,0.0,0.104,0.743,130.03,audio_features,3K6noLeoPTQJ5jUErC8jT5,spotify:track:3K6noLeoPTQJ5jUErC8jT5,https://api.spotify.com/v1/tracks/3K6noLeoPTQJ5jUErC8jT5,https://api.spotify.com/v1/audio-analysis/3K6noLeoPTQJ5jUErC8jT5,203200,4
